escenario,metodo,base,n_replicas,delta_mse_promedio,delta_mse_error_estandar,delta_mse_ic_inferior,delta_mse_ic_superior,delta_mse_mejora,delta_mse_empeora,delta_mae_promedio,delta_mae_error_estandar,delta_mae_ic_inferior,delta_mae_ic_superior,delta_mae_mejora,delta_mae_empeora,delta_mape_promedio,delta_mape_error_estandar,delta_mape_ic_inferior,delta_mape_ic_superior,delta_mape_mejora,delta_mape_empeora,proporcion_contaminacion,magnitud_contaminacion,ubicacion_contaminacion
base_sin_contaminacion,mediana,clasico,1000,32988.389153801,12379.71784549914,8724.142176622685,57252.636130979314,False,True,22.488302686157013,5.699408997029609,11.31746105197898,33.659144320335045,False,True,0.012451805647972365,0.003522393380605562,0.005547914621985464,0.019355696673959265,False,True,0.0,1.0,ninguna
base_sin_contaminacion,ponderado,clasico,1000,109127.9091266253,16502.72517808361,76782.56777758143,141473.25047566916,False,True,55.228298235110366,6.17509211922749,43.125117681424484,67.33147878879625,False,True,0.036552798219043656,0.0037551187652147457,0.029192765439222754,0.04391283099886456,False,True,0.0,1.0,ninguna
base_sin_contaminacion,truncada,clasico,1000,463734.7379797127,46803.706802064844,371999.47264766565,555470.0033117598,False,True,206.84675958393416,13.606802507920204,180.17742666841056,233.51609249945776,False,True,0.13556552443168302,0.008149336168319001,0.11959282554177778,0.15153822332158826,False,True,0.0,1.0,ninguna
p10_m10_aleatoria,mediana,clasico,1000,-13848849.808198243,2294480.167138179,-18346030.935789075,-9351668.680607412,True,False,-989.6001994078855,74.66884948814699,-1135.9511444046536,-843.2492544111174,True,False,-0.6142435349912183,0.04605791180492908,-0.7045170421288793,-0.5239700278535573,True,False,0.1,10.0,aleatoria
p10_m10_aleatoria,ponderado,clasico,1000,-8924036.080946205,2192997.565897306,-13222311.310104925,-4625760.851787485,True,False,-590.8462144757142,67.9466132402848,-724.0215764266724,-457.670852524756,True,False,-0.36660205972141074,0.04187836524381157,-0.4486836555992814,-0.2845204638435401,True,False,0.1,10.0,aleatoria
p10_m10_aleatoria,truncada,clasico,1000,89639217.55626412,18102113.141803227,54159075.79832979,125119359.31419843,False,True,3108.254766231319,188.8378834656868,2738.132514638573,3478.377017824065,False,True,1.8859625580623331,0.11250871097503068,1.665445484551273,2.1064796315733934,False,True,0.1,10.0,aleatoria
p10_m10_tardia,mediana,clasico,1000,-5049068.445810928,1514116.703718785,-8016737.185099747,-2081399.7065221095,True,False,-506.1228882682421,37.90369452996455,-580.4141295469726,-431.83164698951157,True,False,-0.3222790445632955,0.02400201412209848,-0.3693229922426085,-0.27523509688398246,True,False,0.1,10.0,tardia
p10_m10_tardia,ponderado,clasico,1000,-731535.3219691411,1166575.9571198602,-3018024.1979240673,1554953.5539857848,False,False,-295.706979060963,31.125547652994477,-356.7130524608322,-234.70090566109386,True,False,-0.18757770278653085,0.019309615186394118,-0.22542454855186334,-0.14973085702119837,True,False,0.1,10.0,tardia
p10_m10_tardia,truncada,clasico,1000,18645999.62349898,4130221.6285556746,10550765.231529858,26741234.015468102,False,True,790.1032005032064,60.336176951165754,671.8442936789215,908.3621073274912,False,True,0.49434025620276445,0.038600525081946044,0.4186832270421502,0.5699972853633787,False,True,0.1,10.0,tardia
p10_m10_temprana,mediana,clasico,1000,289473.380459556,633592.4445930207,-952367.8109427645,1531314.5718618766,False,False,-27.358564191176576,34.01167276509517,-94.02144281076312,39.30431442840996,False,False,-0.011472520533124055,0.02130660569376715,-0.05323346769290767,0.03028842662665956,False,False,0.1,10.0,temprana
p10_m10_temprana,ponderado,clasico,1000,1451122.6042083038,670021.9012443334,137879.67776941042,2764365.5306471973,False,True,88.9518699216658,34.66357573629604,21.01126147852557,156.89247836480604,False,True,0.06166886108864747,0.02189433089707267,0.018755972530385037,0.1045817496469099,False,True,0.1,10.0,temprana
p10_m10_temprana,truncada,clasico,1000,10581687.443605782,1343646.0098974262,7948141.264206827,13215233.623004738,False,True,955.8347525193612,58.75170982784748,840.6814012567802,1070.9881037819423,False,True,0.5962704347838905,0.03575483693227803,0.5261909543966256,0.6663499151711555,False,True,0.1,10.0,temprana
p10_m2_aleatoria,mediana,clasico,1000,790.7885967350471,19731.998914134205,-37883.929274967995,39465.506468438085,False,False,-0.9454111108216903,7.163165134043196,-14.985214773546355,13.094392551902976,False,False,-0.0021946282055045545,0.004426666235563389,-0.010870894027208798,0.006481637616199689,False,False,0.1,2.0,aleatoria
p10_m2_aleatoria,ponderado,clasico,1000,173909.83378721122,23038.80332739781,128753.77926551152,219065.88830891091,False,True,66.68997753240735,7.014302812740911,52.94194401943517,80.43801104537954,False,True,0.04334368116309348,0.004377293272507494,0.03476418634897879,0.051923175977208164,False,True,0.1,2.0,aleatoria
p10_m2_aleatoria,truncada,clasico,1000,962360.7483848648,91055.75588576692,783891.4668487615,1140830.029920968,False,True,315.270924369073,17.04237316124174,281.8678729730392,348.6739757651068,False,True,0.2018476177393751,0.010345696736051518,0.18157005213671412,0.22212518334203607,False,True,0.1,2.0,aleatoria
p10_m2_tardia,mediana,clasico,1000,3117.1759324578766,15098.750128142157,-26476.37431870075,32710.726183616505,False,False,5.343480276959393,6.1736090515683335,-6.7567934641145415,17.443754018033328,False,False,0.0010243064822476695,0.0038926296697666648,-0.006605247670494993,0.008653860634990332,False,False,0.1,2.0,tardia
p10_m2_tardia,ponderado,clasico,1000,128354.77692207684,16290.908700825132,96424.59586845958,160284.9579756941,False,True,53.92506326296004,5.725423903690997,42.703232411725686,65.1468941141944,False,True,0.03473252023927858,0.0035847601234924695,0.02770639039723334,0.04175865008132382,False,True,0.1,2.0,tardia
