escenario,metodo,base,n_replicas,delta_mse_promedio,delta_mse_error_estandar,delta_mse_ic_inferior,delta_mse_ic_superior,delta_mse_mejora,delta_mse_empeora,delta_mae_promedio,delta_mae_error_estandar,delta_mae_ic_inferior,delta_mae_ic_superior,delta_mae_mejora,delta_mae_empeora,delta_mape_promedio,delta_mape_error_estandar,delta_mape_ic_inferior,delta_mape_ic_superior,delta_mape_mejora,delta_mape_empeora
base_sin_contaminacion,mediana,clasico,400,-30096.825203388893,22663.02937874362,-74516.36278572638,14322.7123789486,False,False,-12.778095938838497,9.37116824071903,-31.145585690647795,5.589393812970801,False,False,-0.008814094091482285,0.0055744966826978114,-0.019740107589569997,0.002111919406605425,False,False
base_sin_contaminacion,ponderado,clasico,400,17843.617750579273,17516.251293370053,-16488.23478442603,52175.470285584575,False,False,9.28658567175153,7.385052582295097,-5.188117389546861,23.76128873304992,False,False,0.008084786830536407,0.0045777368774722535,-0.0008875774493092101,0.017057151110382023,False,False
base_sin_contaminacion,truncada,clasico,400,262505.5577135937,41790.85120991561,180595.48934215913,344415.6260850283,False,True,119.73419416753026,14.55057559818557,91.21506599508655,148.25332233997398,False,True,0.0814023979356754,0.008915709834674122,0.06392760665971411,0.09887718921163668,False,True
p10_m10_aleatoria,mediana,clasico,400,-10166271.64240657,3652210.397487958,-17324604.021482967,-3007939.2633301727,True,False,-875.3934635607059,111.32530233682198,-1093.5910561408768,-657.1958709805348,True,False,-0.5502434878048372,0.0703931576017904,-0.6882140767043464,-0.41227289890532803,True,False
p10_m10_aleatoria,ponderado,clasico,400,-7156026.611951496,3515444.63951201,-14046298.105395036,-265755.1185079571,True,False,-536.8195913353036,106.3464605581776,-745.2586540293316,-328.38052864127553,True,False,-0.33691656704971706,0.06689705479209973,-0.4680347944422325,-0.2057983396572016,True,False
p10_m10_aleatoria,truncada,clasico,400,44906746.7860898,7900758.545713253,29421260.036491826,60392233.535687774,False,True,2557.1662003867405,168.50592779592665,2226.8945819067244,2887.4378188667565,False,True,1.6027317589368173,0.10967834348712495,1.3877622057020524,1.8177013121715822,False,True
p10_m10_tardia,mediana,clasico,400,-4652535.537829796,987700.6655998531,-6588428.842405508,-2716642.2332540834,True,False,-558.3154024830742,46.6426317037093,-649.7349606223444,-466.89584434380396,True,False,-0.360589048579239,0.029663750719139848,-0.4187299999887531,-0.3024480971697249,True,False
p10_m10_tardia,ponderado,clasico,400,-2768840.314552115,754984.5081490807,-4248609.950524313,-1289070.6785799167,True,False,-384.1991915250481,38.97042350665485,-460.5812215980916,-307.8171614520046,True,False,-0.24838539553497832,0.024792611031875793,-0.2969789131574549,-0.19979187791250178,True,False
p10_m10_tardia,truncada,clasico,400,7502800.991929331,1645291.101391415,4278030.433202157,10727571.550656505,False,True,542.3676939959909,45.35167486711272,453.47841125644993,631.2569767355318,False,True,0.344081195343512,0.03050248143599153,0.2842963317289686,0.4038660589580554,False,True
p10_m10_temprana,mediana,clasico,400,-2899815.4215236865,1242357.0875427818,-5334835.313107539,-464795.529939834,True,False,-191.3474262956366,65.4807852682236,-319.6897654213549,-63.00508716991837,True,False,-0.12815218525481206,0.04425045599847773,-0.2148830790118284,-0.041421291497795706,True,False
p10_m10_temprana,ponderado,clasico,400,-1517523.8539282123,1044925.6878330453,-3565578.202080981,530530.4942245563,False,False,-62.91879953775291,60.51608450051367,-181.5303251587597,55.69272608325388,False,False,-0.04032486751443107,0.03984495037222995,-0.11842097024400178,0.03777123521513964,False,False
p10_m10_temprana,truncada,clasico,400,11205428.657136621,2258028.581207004,6779692.637970894,15631164.676302347,False,True,927.9346586131836,84.55383877248335,762.2091346191163,1093.660182607251,False,True,0.6035975252805772,0.05523321550148792,0.4953404228976609,0.7118546276634935,False,True
p10_m2_aleatoria,mediana,clasico,400,-117508.48769277809,37007.1055653043,-190042.41460077453,-44974.56078478166,True,False,-41.861944925919076,12.921829366723136,-67.18873048469642,-16.53515936714173,True,False,-0.029024719726589064,0.008203835787828465,-0.04510423787073285,-0.012945201582445272,True,False
p10_m2_aleatoria,ponderado,clasico,400,13331.039357867094,26547.602075867955,-38702.260710834096,65364.33942656828,False,False,13.04860002842615,9.825007780441009,-6.208415221238226,32.30561527809053,False,False,0.008073919875475052,0.006095847824978443,-0.0038739418614826947,0.0200217816124328,False,False
p10_m2_aleatoria,truncada,clasico,400,615553.3875033543,70415.02939785573,477539.92988355714,753566.8451231516,False,True,237.9941048775196,19.26088488259703,200.24277050762942,275.74543924740976,False,True,0.15207277350340068,0.011677144429874142,0.12918557042084736,0.174959976585954,False,True
p10_m2_tardia,mediana,clasico,400,-63946.79106529736,29527.65825083975,-121821.00123694327,-6072.580893651444,True,False,-23.606362433701044,10.71653544195362,-44.61077189993014,-2.6019529674719486,True,False,-0.01726231268660399,0.00668322223077888,-0.030361428258930595,-0.004163197114277385,True,False
p10_m2_tardia,ponderado,clasico,400,57018.70076098985,24908.058319092546,8198.90645556846,105838.49506641124,False,True,17.47683849769236,8.019401461817417,1.7588116325302234,33.19486536285449,False,True,0.012445408940605862,0.005041325727378533,0.002564410514943936,0.022326407366267786,False,True
p10_m2_tardia,truncada,clasico,400,450416.6151736707,73097.36341061126,307145.78288887267,593687.4474584687,False,True,158.504641726562,16.459185900901822,126.24463736079443,190.76464609232957,False,True,0.10593499053490589,0.010403872894442157,0.08554339966179926,0.1263265814080125,False,True
p10_m2_temprana,mediana,clasico,400,-93169.49987032183,52173.71276190981,-195429.97688366508,9090.977143021402,False,False,-15.415231431162724,10.250583599918274,-35.50637528700254,4.675912424677094,False,False,-0.011077696462386415,0.006225056243975331,-0.023278806700578063,0.0011234137758052327,False,False
p10_m2_temprana,ponderado,clasico,400,22160.468218872127,23813.016151857177,-24513.04343876794,68833.9798765122,False,False,16.963278513406866,8.98042909522782,-0.6383625132396595,34.564919540053396,False,False,0.012617972125459094,0.005486932575979451,0.001863584276539371,0.023372359974378816,False,True
p10_m2_temprana,truncada,clasico,400,433803.9909641163,91863.21689039018,253752.08585895156,613855.896069281,False,True,140.38408960372743,20.119426564927593,100.95001353646936,179.8181656709855,False,True,0.09489748796820092,0.012257778496857778,0.07087224211435968,0.11892273382204217,False,True
p10_m5_aleatoria,mediana,clasico,400,-1755745.4197372475,389464.7640727616,-2519096.3573198603,-992394.4821546348,True,False,-295.11029839300994,38.39553460851888,-370.36554622570696,-219.85505056031292,True,False,-0.1897711612966615,0.024271974693266425,-0.2373442316954637,-0.1421980908978593,True,False
p10_m5_aleatoria,ponderado,clasico,400,-839880.0650146737,312021.8462709716,-1451442.883705778,-228317.24632356944,True,False,-118.3876700154478,30.291659058293124,-177.75932176970232,-59.016018261193274,True,False,-0.07507519061833214,0.019354152632107564,-0.11300932977726297,-0.03714105145940131,True,False
p10_m5_aleatoria,truncada,clasico,400,7142842.394754602,1250855.2720700842,4691166.061497237,9594518.728011966,False,True,878.0409653923557,54.93157827189575,770.37507197944,985.7068588052714,False,True,0.5514363162830513,0.03443669906050982,0.4839403861244521,0.6189322464416506,False,True
p10_m5_tardia,mediana,clasico,400,-647655.2185394517,166762.1965151356,-974509.1237091175,-320801.3133697859,True,False,-168.30842077111075,21.144678427086678,-209.75199048820065,-126.86485105402086,True,False,-0.1123895308496427,0.01309236872216303,-0.13805057354508224,-0.08672848815420317,True,False
p10_m5_tardia,ponderado,clasico,400,-252812.27106125484,118319.54427538111,-484718.5778410018,-20905.964281507884,True,False,-77.12328567238403,16.26159362152163,-108.99600917056642,-45.25056217420163,True,False,-0.052499971502552735,0.009815918752880085,-0.0717391722581977,-0.03326077074690777,True,False
p10_m5_tardia,truncada,clasico,400,1230345.16107543,157595.50923071062,921457.9629832371,1539232.3591676229,False,True,287.69327334489253,19.19100402123877,250.07890546326456,325.3076412265205,False,True,0.18304349806165537,0.011764580272544803,0.15998492072746756,0.2061020753958432,False,True
p10_m5_temprana,mediana,clasico,400,-275928.72283109487,186487.46990352313,-641444.1638420002,89586.71817981044,False,False,-71.27387765370555,23.29884602806641,-116.93961586871572,-25.60813943869539,True,False,-0.04263135082803357,0.015111392867708216,-0.07224968084874167,-0.013013020807325467,True,False
p10_m5_temprana,ponderado,clasico,400,220089.469486803,205045.9118658916,-181800.5177703445,621979.4567439505,False,False,-2.037922322536074,23.50670757840133,-48.11106917620268,44.03522453113053,False,False,0.004044316095211116,0.01546354775626734,-0.02626423750707287,0.0343528696974951,False,False
p10_m5_temprana,truncada,clasico,400,2800578.823787039,544348.0006056881,1733656.7425998906,3867500.9049741877,False,True,382.6148154105747,42.454829614322534,299.40334936650254,465.82628145464685,False,True,0.2517717622863263,0.026740013884786567,0.19936133507214465,0.30418218950050796,False,True
p20_m10_aleatoria,mediana,clasico,400,-26234479.1541543,5950096.790669283,-37896668.86386609,-14572289.444442507,True,False,-1523.8062861479623,152.13221027810462,-1821.9854182930474,-1225.6271540028772,True,False,-0.9324365898445268,0.09219419816806704,-1.1131372182539383,-0.7517359614351155,True,False
p20_m10_aleatoria,ponderado,clasico,400,-15469718.395556526,5084472.444813445,-25435284.387390878,-5504152.403722174,True,False,-722.229890787716,135.429506763525,-987.6717240442251,-456.788057531207,True,False,-0.44463802838695754,0.08311592261996593,-0.6075452367220908,-0.2817308200518243,True,False
p20_m10_aleatoria,truncada,clasico,400,233149766.56865752,62461576.59704827,110725076.43844292,355574456.6988721,False,True,6083.331822145603,469.2386820924429,5163.624005244415,7003.039639046791,False,True,3.681674931284935,0.2665785051564921,3.1591810611782103,4.20416880139166,False,True
p20_m10_tardia,mediana,clasico,400,-27729155.660011347,5678183.685405248,-38858395.68340563,-16599915.636617063,True,False,-1756.0250318165467,127.41694420584322,-2005.7622424599995,-1506.287821173094,True,False,-1.0787574864568834,0.07731721086368913,-1.230299219749714,-0.9272157531640527,True,False
p20_m10_tardia,ponderado,clasico,400,-22922728.974945117,5232676.874597939,-33178775.649157077,-12666682.300733157,True,False,-1408.3816801664525,112.6328459444884,-1629.1420582176497,-1187.6213021152553,True,False,-0.8631947704710672,0.0680158587847324,-0.9965058536891427,-0.7298836872529917,True,False
p20_m10_tardia,truncada,clasico,400,16540620.845949916,3777349.009648443,9137016.787038967,23944224.904860865,False,True,838.3775204913175,85.68018060661294,670.4443665023562,1006.3106744802787,False,True,0.5212195451662688,0.0543786560804335,0.4146373792486191,0.6278017110839185,False,True
p20_m10_temprana,mediana,clasico,400,-17416162.225603163,11050777.337949542,-39075685.80798426,4243361.35677794,False,False,-317.961466428239,156.73517171903876,-625.162402997555,-10.760529858923064,True,False,-0.17636609878851647,0.09016821333638833,-0.3530957969278376,0.00036359935080465533,False,False
p20_m10_temprana,ponderado,clasico,400,-12971151.998082573,9630161.358231995,-31846268.260217287,5903964.26405214,False,False,-21.666418252650782,132.93961051787704,-282.22805486768976,238.89521836238822,False,False,0.007617180640977921,0.0778067095276357,-0.14488397003318806,0.16011833131514389,False,False
