escenario,metodo,proporcion_contaminacion,magnitud_contaminacion,ubicacion_contaminacion,n_replicas,sesgo,mse,rmse,mae,mape,error_porcentual_promedio,desviacion_estandar_estimaciones,tasa_sobreestimacion,tasa_subestimacion,error_absoluto_mediano,error_estandar_monte_carlo_sesgo,error_estandar_monte_carlo_mape,error_estandar_monte_carlo_mae,sesgo_ic_inferior,sesgo_ic_superior,mape_ic_inferior,mape_ic_superior,mae_ic_inferior,mae_ic_superior
base_sin_contaminacion,clasico,0.0,1.0,ninguna,1000.0,47.84947071434608,360505.7581356518,600.4213171895647,452.3591907138843,0.2751010489983961,0.05485128756290105,540.0130967627916,0.504,0.496,361.8414309241957,18.936070369774658,0.008151375302477091,12.491315129560915,10.734772789587751,84.96416863910441,0.259124353405541,0.2910777445912512,427.8762130599449,476.84216836782366
base_sin_contaminacion,mediana,0.0,1.0,ninguna,1000.0,22.503068074526723,393494.1472894528,627.2911184525514,474.8474934000413,0.2875528546463685,0.039393641360538766,569.8795207835893,0.465,0.535,380.24498057051915,19.833838265878924,0.008294075881612897,12.968507527415756,-16.371254926595967,61.37739107564941,0.2712964659184072,0.30380924337432974,449.4292186463064,500.26576815377615
base_sin_contaminacion,ponderado,0.0,1.0,ninguna,1000.0,153.3181932157685,469633.66726227704,685.2982323501769,507.5874889489947,0.3116538472174398,0.11970317842541574,615.7929409981355,0.552,0.448,391.53637049788176,21.13229217723419,0.009570436754871006,14.567113960351419,111.89890054838949,194.7374858831475,0.2928957911778926,0.33041190325698694,479.0359455867059,536.1390323112835
base_sin_contaminacion,truncada,0.0,1.0,ninguna,1000.0,432.5280229755463,824240.4961153645,907.8769168314417,659.2059502978185,0.4106665734300792,0.28969826864869364,762.3297463301552,0.694,0.306,487.72009720899916,25.254659040650086,0.012887969749301391,19.750394661793752,383.02889125587217,482.0271546952205,0.38540615272144846,0.4359269941387099,620.4951767607027,697.9167238349343
p10_m10_aleatoria,clasico,0.1,10.0,aleatoria,1000.0,2572.0961404365494,26261214.734432757,5124.569712125376,2731.334519209705,1.6889974726308536,1.5993686387805217,4429.702065793542,0.821,0.179,1381.9897690820176,140.2326687336597,0.08681330025587514,137.18544501852656,2297.2401097185766,2846.952171154522,1.5188434041293384,1.859151541132369,2462.4510469733927,3000.217991446017
p10_m10_aleatoria,mediana,0.1,10.0,aleatoria,1000.0,1508.1342734922816,12412364.926234512,3523.1186364121363,1741.734319801819,1.0747539376396356,0.9456579628547157,3179.0977853298227,0.716,0.284,731.6282260257616,100.73750038260705,0.06099746846930197,96.89228349078716,1310.6887727423718,1705.5797742421914,0.9551988994398037,1.1943089758394674,1551.8254441598763,1931.643195443762
p10_m10_aleatoria,ponderado,0.1,10.0,aleatoria,1000.0,1999.6928347329774,17337178.65348655,4163.793781335304,2140.488304733991,1.3223954129094428,1.2455543595444605,3649.7359956897067,0.815,0.185,973.6506790681042,115.54981167956667,0.07082441927796607,112.99671113581613,1773.2152038410268,2226.170465624928,1.1835795511246294,1.4612112746942563,1919.0147509077913,2361.9618585601906
p10_m10_aleatoria,truncada,0.1,10.0,aleatoria,1000.0,5830.082754958097,115900432.29069687,10765.706307098335,5839.589285441023,3.574960030693187,3.5700747739536296,9061.897550370903,0.985,0.015,3254.5049467531994,286.34343002932343,0.17448961605739868,286.1494553180874,5268.849632100623,6391.315877815571,3.2329603832206857,3.9169596781656884,5278.736353017572,6400.4422178644745
p10_m10_tardia,clasico,0.1,10.0,tardia,1000.0,1885.2092581399957,19867199.66771919,4457.2636973505605,1970.4180698725386,1.2291553153935195,1.1852877310809977,4027.9276849199837,0.853,0.147,847.4179834550848,127.7869916539959,0.0780371414221291,126.49368739423149,1634.7467544981637,2135.6717617818276,1.0762025182061465,1.3821081125808925,1722.490442579845,2218.345697165232
p10_m10_tardia,mediana,0.1,10.0,tardia,1000.0,1207.2484762495226,14818131.22190826,3849.432584408806,1464.2951816042964,0.906876270830224,0.767747317632741,3644.228077155347,0.653,0.347,507.5552464349986,115.64625542963492,0.06816163152589436,112.63506337077827,980.5818156074381,1433.915136891607,0.7732794730394711,1.0404730686209769,1243.5304573975711,1685.0599058110217
p10_m10_tardia,ponderado,0.1,10.0,tardia,1000.0,1494.2482305143494,19135664.345750045,4374.433031348182,1674.7110908115753,1.0415776126069887,0.945274807598078,4100.729104736449,0.737,0.263,579.6086864219658,130.07615606917554,0.07856671379040735,127.85677323679522,1239.2989646187652,1749.1974964099336,0.8875868535777902,1.1955683716361871,1424.1118152674567,1925.310366355694
p10_m10_tardia,truncada,0.1,10.0,tardia,1000.0,2722.9268282632715,38513199.29121817,6205.900361044976,2760.5212703757443,1.723495571596284,1.7043220346142962,5567.053671817483,0.925,0.075,1274.8963088301746,176.4369541165348,0.11000547714256177,175.8512020211222,2377.1103981948636,3068.7432583316795,1.507884836396863,1.939106306795705,2415.852914414345,3105.1896263371436
p10_m10_temprana,clasico,0.1,10.0,temprana,1000.0,585.628348439286,5930201.26622243,2435.200457092276,1186.6890708194446,0.7148245699074053,0.37070257040364357,2361.955481400216,0.49,0.51,638.8315361718991,74.78524946313924,0.040106013021909075,67.2792450331627,439.0492594915331,732.2074373870389,0.6362167843844635,0.7934323554303471,1054.8217505544458,1318.5563910844435
p10_m10_temprana,mediana,0.1,10.0,temprana,1000.0,712.4471617685562,6219674.646681985,2493.927554417326,1159.3305066282683,0.7033520493742811,0.4523350131580654,2385.044619992724,0.532,0.468,548.4806478923213,75.61621188521535,0.04252971529817209,69.86063219735449,564.2393864735341,860.6549370635782,0.6199938073898638,0.7867102913586984,1022.4036675214535,1296.2573457350832
p10_m10_temprana,ponderado,0.1,10.0,temprana,1000.0,941.906174896048,7381323.870430733,2716.8591922348005,1275.6409407411104,0.7764934309960526,0.5915045796573862,2545.606924796194,0.612,0.388,562.7026138575499,80.62652953829041,0.046220336550354464,75.89350357323404,783.8781770009988,1099.9341727910971,0.6859015713573579,0.8670852906347474,1126.8896737375717,1424.392207744649
p10_m10_temprana,truncada,0.1,10.0,temprana,1000.0,2018.6307532377953,16511888.70982821,4063.482337826536,2142.5238233388063,1.3110950046912957,1.2443307963133114,3531.1803393262344,0.835,0.165,989.7601521176418,111.57718431637711,0.06601048826823261,109.24016564452802,1799.939471977696,2237.3220344978945,1.1817144476855597,1.4404755616970317,1928.4130986755315,2356.6345480020814
p10_m2_aleatoria,clasico,0.1,2.0,aleatoria,1000.0,236.9104410004382,591323.2394537531,768.9754478874817,564.8902424118266,0.34716893837564,0.16617336637372795,698.0541528404326,0.579,0.421,417.7883994163452,23.14589412430517,0.010358310334898127,16.507414946922808,191.54448851680007,282.2763934840763,0.32686665011923965,0.36747122663204035,532.5357091158579,597.2447757077954
p10_m2_aleatoria,mediana,0.1,2.0,aleatoria,1000.0,191.69760891753955,592114.0280504881,769.4894593498263,563.944831301005,0.34497431017013536,0.13787930495961895,715.3986631252466,0.538,0.462,413.96242516389214,23.577997725900065,0.010361790997491207,16.563653277863505,145.48473337477543,237.91048446030368,0.3246651998150526,0.3652834205252181,531.4800708763926,596.4095917256175
p10_m2_aleatoria,ponderado,0.1,2.0,aleatoria,1000.0,347.49942825697286,765233.0732409643,874.7760131833545,631.580219944234,0.39051261953873334,0.23399958752996947,773.3127317062361,0.629,0.371,463.3511469676565,25.399258708572308,0.01213959552845631,19.149574544134882,297.71688118817116,397.28197532577457,0.366719012302959,0.4143062267745077,594.0470538377297,669.1133860507384
p10_m2_aleatoria,truncada,0.1,2.0,aleatoria,1000.0,720.7080939367244,1553683.9878386178,1246.468606840388,880.1611667808997,0.5490165561150151,0.4631684962438936,993.5310927071527,0.762,0.238,605.3342951402033,32.17606455586225,0.017583878614685244,27.9245427611254,657.6430074072343,783.7731804662144,0.514552154030232,0.5834809581997982,825.4290629690939,934.8932705927056
