escenario,metodo,proporcion_contaminacion,magnitud_contaminacion,ubicacion_contaminacion,n_replicas,sesgo,mse,rmse,mae,mape,error_porcentual_promedio,desviacion_estandar_estimaciones,tasa_sobreestimacion,tasa_subestimacion,error_absoluto_mediano,error_estandar_monte_carlo_sesgo,error_estandar_monte_carlo_mape,error_estandar_monte_carlo_mae,sesgo_ic_inferior,sesgo_ic_superior,mape_ic_inferior,mape_ic_superior,mae_ic_inferior,mae_ic_superior
base_sin_contaminacion,clasico,0.0,1.0,ninguna,400.0,57.655411016263024,368699.2809442722,607.2061272288614,459.92937956653174,0.27514630655898453,0.0581188457708863,548.1735795663865,0.495,0.505,357.32399981766,30.260984025598685,0.011672410008498928,19.846797103758025,-1.6561176739103942,116.96693970643645,0.2522683829423266,0.29802423017564245,421.029657243166,498.82910188989746
base_sin_contaminacion,mediana,0.0,1.0,ninguna,400.0,3.870934415691445,338602.45574088336,581.8955711645203,447.1512836276932,0.26633221246750227,0.02482076973202474,524.265492351425,0.465,0.535,382.8080585879069,29.13057078749221,0.011187776328129858,18.6417340623022,-53.22498432779329,60.966853159176175,0.24440417086436775,0.28826025407063677,410.6134848655809,483.6890823898055
base_sin_contaminacion,ponderado,0.0,1.0,ninguna,400.0,107.44606023692408,386542.89869485155,621.7257423453299,469.2159652382832,0.28323109338952096,0.08889628415233883,555.2639566286771,0.5375,0.4625,367.32470286500325,30.656895148341068,0.01271309983444093,20.420349368257597,47.358545746175594,167.53357472767257,0.2583134177140167,0.3081487690650252,429.19208047649835,509.2398500000681
base_sin_contaminacion,truncada,0.0,1.0,ninguna,400.0,332.55782885100695,631204.838657866,794.4840078049816,579.663573734062,0.35654870449465986,0.22691163884241206,673.7387329617634,0.6675,0.3325,408.7445918869248,36.121839530221095,0.01691802410485328,27.199945633502058,261.7590233717736,403.3566343302403,0.32338937724914746,0.38970803174017227,526.351680292398,632.975467175726
p10_m10_aleatoria,clasico,0.1,10.0,aleatoria,400.0,2407.0373156849105,20096546.13631817,4482.917145823484,2554.786521543074,1.5914253694842018,1.5077066654852063,3774.523275748518,0.8325,0.1675,1459.3226372905565,189.33148118436364,0.11627953890963608,184.41543467268085,2035.9476125635579,2778.127018806263,1.3635174732213151,1.8193332657470884,2193.3322695846196,2916.240773501528
p10_m10_aleatoria,mediana,0.1,10.0,aleatoria,400.0,1454.2939508397012,9930274.4939116,3151.233805021709,1679.393057982368,1.0411818816793648,0.9145952957906411,2789.584146413803,0.7375,0.2625,766.0798009545115,139.95437493632045,0.0839434134094584,133.48907055138352,1179.983375964513,1728.6045257148894,0.8766527913968263,1.2057109719619032,1417.7544797016562,1941.0316362630797
p10_m10_aleatoria,ponderado,0.1,10.0,aleatoria,400.0,1881.668138967617,12940519.524366675,3597.293360898813,2017.96693020777,1.2545088024344848,1.1786958302236632,3059.484245506718,0.8125,0.1875,1025.1542105281687,153.4878093431019,0.09365526418928866,149.08517180967414,1580.8320326551375,2182.5042452800967,1.070944484623479,1.4380731202454906,1725.7599934608088,2310.1738669547312
p10_m10_aleatoria,truncada,0.1,10.0,aleatoria,400.0,5105.2681526805,65003292.92240797,8062.461964090619,5111.952721929814,3.1941571284210193,3.190393067347204,6229.424490061586,0.9875,0.0125,3192.9433048367405,312.3984747829321,0.2006616099604092,312.1243899712792,4492.967142105953,5717.569163255047,2.8008603728986174,3.587453883943421,4500.188917586107,5723.716526273522
p10_m10_tardia,clasico,0.1,10.0,tardia,400.0,1814.9002146090666,14458168.144152988,3802.389793820853,1888.6728296724457,1.1972698008187175,1.1612445663913435,3320.2637927528776,0.86,0.14,910.6591121089782,167.27437094741083,0.10812505518927389,165.2148527992834,1487.0424475521413,2142.757981665992,0.9853446926477407,1.4091949089896942,1564.8517181858501,2212.4939411590412
p10_m10_tardia,mediana,0.1,10.0,tardia,400.0,1115.2038389166792,9805632.606323188,3131.3946743141764,1330.3574271893713,0.8366807522394786,0.7247977266045877,2904.7803255545477,0.7075,0.2925,504.2331190847824,146.48729921754943,0.09281482573406688,141.91477659197807,828.0887324502824,1402.318945383076,0.6547636938007075,1.0185978106782496,1052.2044650690943,1608.5103893096482
