scenario,method,n_replicas,bias,mse,rmse,mae,mape,mean_percentage_error,sd_estimates,overestimation_rate,underestimation_rate,median_absolute_error,mcse_bias,mcse_mape,mcse_mae,bias_ci_lower,bias_ci_upper,mape_ci_lower,mape_ci_upper,mae_ci_lower,mae_ci_upper,contamination_proportion,contamination_magnitude,contamination_location
base_sin_contaminacion,classical,1000.0,59.23238377421387,364847.11563776457,604.0257574290723,461.28346120253633,0.2857326827804289,0.06089825908779123,552.0171055468293,0.488,0.512,379.59739880654206,19.01842108827333,0.008178238002898672,12.337621365552298,21.956278441198144,96.5084891072296,0.2697033362947475,0.3017620292661103,437.10172332605384,485.4651990790188,0.0,1.0,none
base_sin_contaminacion,median,1000.0,26.807845858022386,392604.7807004867,626.5818228296179,470.51154005502747,0.2897719617626301,0.04013899775549788,581.5762059594753,0.463,0.537,383.8659545939289,19.806019249193884,0.008555784535417218,13.091793858825264,-12.011951870397628,65.6276435864424,0.27300262407321235,0.30654129945204783,444.85162409172995,496.171456018325,0.0,1.0,none
base_sin_contaminacion,trimmed,1000.0,429.76946045013955,801499.509739053,895.265049993047,639.5323238449939,0.40657218328590805,0.2905352516600928,751.0393118408416,0.679,0.321,454.14499908524715,24.84783965939873,0.013280425418236643,19.821473388821996,381.06769471771804,478.47122618256105,0.3805425494661642,0.4326018171056519,600.6822360029028,678.3824116870851,0.0,1.0,none
base_sin_contaminacion,weighted,1000.0,153.12539391587492,465998.03089886374,682.6404843685025,503.15751751395874,0.3141235450412236,0.11867561007817409,623.7715105443366,0.542,0.458,387.3080717652932,21.047414051974346,0.009720286794425432,14.596012710843642,111.87246237400521,194.37832545774464,0.29507178292414976,0.3331753071582974,474.5493326007052,531.7657024272123,0.0,1.0,none
p10_m10_early,classical,1000.0,1020.3688673053451,13627808.254260853,3691.586143415978,1599.1126561724666,0.9769735072847638,0.6480436564631575,3542.280255008806,0.527,0.473,698.553199991755,112.2464025427035,0.06449814563515331,105.26979004360993,800.3659183216463,1240.371816289044,0.8505571418398634,1.1033898727296643,1392.783867686991,1805.4414446579422,0.1,10.0,early
p10_m10_early,median,1000.0,1027.1492164849724,10771796.788232697,3282.0415579685605,1455.730913966265,0.8918006750228227,0.6542777779464602,3108.2773734831467,0.545,0.455,536.9277044785131,98.6229575863048,0.058430143166303974,93.06613562384331,833.848219615815,1220.4502133541298,0.7772775944168668,1.0063237556287785,1273.321288143532,1638.140539788998,0.1,10.0,early
p10_m10_early,trimmed,1000.0,2756.7299193750096,47302421.734701134,6877.675605515365,2872.466718063218,1.7718860184334362,1.7095349537688762,6300.714833252185,0.847,0.153,1071.4713984714829,199.35547268839804,0.11945945646053058,197.71304240099013,2365.9931929057493,3147.46664584427,1.5377454837707962,2.006026553096076,2484.9491549572776,3259.9842811691587,0.1,10.0,early
p10_m10_early,weighted,1000.0,1302.4347561047603,13253566.015207006,3640.544741547205,1626.900233896633,1.0007408498457169,0.8236012431014531,3391.186518753629,0.627,0.373,580.1616234143623,107.55834937287369,0.0647004502992918,103.04066684167599,1091.6203913339277,1513.2491208755928,0.8739279672591049,1.1275537324323288,1424.940526886948,1828.859940906318,0.1,10.0,early
p10_m10_late,classical,1000.0,1615.766387494987,10454902.779257126,3233.4042090739486,1687.72643050827,1.0574068161194932,1.0197293074984377,2782.9213453518887,0.86,0.14,856.8758470623588,88.61181531891015,0.05503266006753375,87.25878965119979,1442.087229469923,1789.445545520051,0.9495428023871271,1.1652708298518593,1516.6992027919184,1858.7536582246214,0.1,10.0,late
p10_m10_late,median,1000.0,969.0870964449783,7989137.176019876,2826.506178309164,1235.0186730966345,0.7692814748081369,0.6242821195104621,2635.1597201410004,0.652,0.348,512.2392281034389,84.00633571322868,0.05028029238752502,80.43840121180938,804.4346784470501,1133.7395144429065,0.6707321017285879,0.8678308478876859,1077.359406721488,1392.677939471781,0.1,10.0,late
p10_m10_late,trimmed,1000.0,2324.185335705445,18832103.58834756,4339.597168902612,2352.709140594256,1.4673638181025652,1.4530086211264077,3652.6362389681804,0.941,0.059,1307.2120079862202,115.9470129993127,0.07250000200056163,115.36972506499863,2096.9291902267923,2551.441481184098,1.3252638141814646,1.609463822023666,2126.5844794668587,2578.8338017216533,0.1,10.0,late
p10_m10_late,weighted,1000.0,1218.2217498542532,9922093.68226835,3149.9355044616946,1402.2055805144141,0.8760462760265059,0.7771149079422246,2886.5493944975597,0.724,0.276,554.1553020980338,91.90471112177423,0.055666652800128995,89.24055731175089,1038.0885160555756,1398.3549836529307,0.766939636538253,0.9851529155147587,1227.2940881833824,1577.1170728454458,0.1,10.0,late
p10_m10_random,classical,1000.0,2442.5480406137544,25570474.762105476,5056.725695754662,2626.6119184785057,1.640020676813122,1.5380119173897515,4419.743680317009,0.802,0.198,1353.3676465953888,140.08589468354288,0.08630611076423372,136.71164788151236,2167.9796870340106,2717.1163941934983,1.470860699715224,1.80918065391102,2358.6570886307413,2894.56674832627,0.1,10.0,random
p10_m10_random,median,1000.0,1410.4777558796695,11027772.522887835,3320.8090163223533,1652.4707078322456,1.029263273528826,0.8958361233720741,2995.97588688466,0.717,0.283,722.4966396893049,95.11767656672413,0.05611035753620074,91.13406882799306,1224.0471098088901,1596.908401950449,0.9192869727578726,1.1392395742997796,1473.847932929379,1831.093482735112,0.1,10.0,random
p10_m10_random,trimmed,1000.0,5303.579446245758,79385479.55097932,8909.85294777525,5314.451624075078,3.3107149656398343,3.3048104459911256,7157.785944357076,0.979,0.021,3264.6359358243863,226.5145325178511,0.14482137361391317,226.25931309696,4859.61096251077,5747.547929980746,3.0268650733565643,3.594564857923104,4870.983370405036,5757.91987774512,0.1,10.0,random
p10_m10_random,weighted,1000.0,1876.0446132469847,15883700.617815511,3985.4360636968586,2021.7957644633175,1.2643636250072419,1.1850660252066862,3506.7950780409124,0.815,0.185,981.3285194136545,111.2498708344561,0.06774755207029744,108.6639330917516,1657.9948664114506,2094.0943600825185,1.131578422949459,1.3971488270650247,1808.8144556034842,2234.7770733231505,0.1,10.0,random
p10_m2_early,classical,1000.0,112.52221259471594,508656.5588931978,713.201625694444,524.6246394811377,0.3240416556644045,0.09430513586396477,656.4495320910182,0.5,0.5,401.17090129910366,22.282096004827636,0.00996234037604599,15.285915273487298,68.84930442525376,156.1951207641781,0.3045154685273544,0.34356784280145464,494.66424554510263,554.5850334171728,0.1,2.0,early
